ticker,symbol,name,isin,sector,industry,basic_industry,index_name,source,active,series,free_float_market_cap,last_price,year_high,year_low,near_52w_high_pct,return_30d_pct,return_365d_pct,refreshed_at,exchange,security_id,nse_ticker,bse_ticker,nse_security_id,bse_security_id,data_quality,classification_source
MFSL.NS,MFSL,Max Financial Services Ltd.,INE180A01020,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MAXHEALTH.NS,MAXHEALTH,Max Healthcare Institute Ltd.,INE027H01010,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MAZDOCK.NS,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,INE249Z01020,Capital Goods,Capital Goods,Capital Goods,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MEDPLUS.NS,MEDPLUS,Medplus Health Services Ltd.,INE804L01022,Consumer Services,Consumer Services,Consumer Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MEESHO.NS,MEESHO,Meesho Ltd.,INE0VDM01015,Consumer Services,Consumer Services,Consumer Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
METROPOLIS.NS,METROPOLIS,Metropolis Healthcare Ltd.,INE112L01020,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MINDACORP.NS,MINDACORP,Minda Corporation Ltd.,INE842C01021,Auto,Auto,Auto,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MIDHANI.NS,MIDHANI,Mishra Dhatu Nigam Ltd.,INE099Z01011,Capital Goods,Capital Goods,Capital Goods,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MSUMI.NS,MSUMI,Motherson Sumi Wiring India Ltd.,INE0FS801015,Auto,Auto,Auto,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MOTILALOFS.NS,MOTILALOFS,Motilal Oswal Financial Services Ltd.,INE338I01027,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MPHASIS.NS,MPHASIS,MphasiS Ltd.,INE356A01018,Information Technology,Information Technology,Information Technology,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
BECTORFOOD.NS,BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,INE495P01020,FMCG,FMCG,FMCG,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MCX.NS,MCX,Multi Commodity Exchange of India Ltd.,INE745G01043,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
MUTHOOTFIN.NS,MUTHOOTFIN,Muthoot Finance Ltd.,INE414G01012,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NATCOPHARM.NS,NATCOPHARM,NATCO Pharma Ltd.,INE987B01026,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NBCC.NS,NBCC,NBCC (India) Ltd.,INE095N01031,Construction,Construction,Construction,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NCC.NS,NCC,NCC Ltd.,INE868B01028,Construction,Construction,Construction,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NEOGEN.NS,NEOGEN,NEOGEN CHEMICALS LTD.,INE136S01016,Chemicals,Chemicals,Chemicals,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NESCO.NS,NESCO,NESCO Ltd.,INE317F01035,Services,Services,Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NHPC.NS,NHPC,NHPC Ltd.,INE848E01016,Power,Power,Power,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NLCINDIA.NS,NLCINDIA,NLC India Ltd.,INE589A01014,Power,Power,Power,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NMDC.NS,NMDC,NMDC Ltd.,INE584A01023,Metals & Mining,Metals & Mining,Metals & Mining,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NSLNISP.NS,NSLNISP,NMDC Steel Ltd.,INE0NNS01018,Metals & Mining,Metals & Mining,Metals & Mining,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NTPCGREEN.NS,NTPCGREEN,NTPC Green Energy Ltd.,INE0ONG01011,Power,Power,Power,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NTPC.NS,NTPC,NTPC Ltd.,INE733E01010,Power,Power,Power,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NH.NS,NH,Narayana Hrudayalaya Ltd.,INE410P01011,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NATIONALUM.NS,NATIONALUM,National Aluminium Co. Ltd.,INE139A01034,Metals & Mining,Metals & Mining,Metals & Mining,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NFL.NS,NFL,National Fertilizers Ltd.,INE870D01012,Chemicals,Chemicals,Chemicals,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NAVA.NS,NAVA,Nava Ltd.,INE725A01030,Power,Power,Power,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NAVINFLUOR.NS,NAVINFLUOR,Navin Fluorine International Ltd.,INE048G01026,Chemicals,Chemicals,Chemicals,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NAZARA.NS,NAZARA,Nazara Technologies Ltd.,INE418L01047,Media Entertainment & Publication,Media Entertainment & Publication,Media Entertainment & Publication,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,INE239A01024,FMCG,FMCG,FMCG,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NETWEB.NS,NETWEB,Netweb Technologies India Ltd.,INE0NT901020,Information Technology,Information Technology,Information Technology,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NETWORK18.NS,NETWORK18,Network18 Media & Investments Ltd.,INE870H01013,Media Entertainment & Publication,Media Entertainment & Publication,Media Entertainment & Publication,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NEULANDLAB.NS,NEULANDLAB,Neuland Laboratories Ltd.,INE794A01010,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NEWGEN.NS,NEWGEN,Newgen Software Technologies Ltd.,INE619B01017,Information Technology,Information Technology,Information Technology,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NAM-INDIA.NS,NAM-INDIA,Nippon Life India Asset Management Ltd.,INE298J01013,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NIVABUPA.NS,NIVABUPA,Niva Bupa Health Insurance Company Ltd.,INE995S01015,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
